TITLE,CATEGORY
assam celebrates eid minus the celebrations ,cities
vietnam begins evacuation of local tourists after coronavirus cases vietnam is currently going through a tough phase after three residents in the tourist region of da nang tested positive for corona ,india
many sanitiser deaths in andhra unreported ,cities
he trump administration is planning to withdraw some federal security forces from portland oregon after weeks of clashes with protesters us homeland security secretary chad wolf said the pullout was conditional on local police protecting federal buildings the focal point of unrest oregon governor kate brown said federal agents would start leaving the states biggest city from thursday portland has been rocked by 62 consecutive days of demonstrations,world
women taking beta blocker dose for hypertension at higher risk of heart failurebetablockers are medications that reduce high blood pressure and are prescribed for adults with hypertension a leading cause of cvdaccording to new researchwomen taking betablockers for hypertension with no prior history of cardiovascular disease cvd have a nearly five per cent higher risk for heart failure than men when they visit hospitals with the acute coronary syndrome the study was published in ‘hypertension’ an american heart association journalbetablockers are medications that reduce high blood pressure and are prescribed for adults with hypertension a leading cause of cvd in this study researchers analysed the effects of betablockers on men and women with hypertension and no history of cvd after presenting with acute coronary syndromesfollowing the incidence of heart failure was recorded to determine if the medication caused different outcomes depending on biological differences“past research on the effects of betablockers included a majority of participants who were men so we sought to examine how sexgender plays a role in the patient outcomes” said raffaele bugiardini md professor of cardiology at the university of bologna and lead author of the study“women are historically underrepresented in most clinical studies on hypertension it’s important to include an equal split of male and female patients in future research which could shed light on disparities and actionable treatments,health and medicine
secretary of state michael r pompeo on thursday said us efforts to lead an “international awakening” against the chinese government is working and the “tide is turning” as a result he went on to cite indian ban on chinese apps as a manifestation of it along with the closer interactions of the quad and separate actions by other countries testifying at a us senate hearing on the 2021 budget for the state department pompeo also said he is not yet certain about the shape or form of the “new grouping of likeminded nations — an alliance of democracies” that he recently mooted to confront the global threat from china in a major policy speech from a california library named after president richard nixon whose 1972 visit let to the thaw in uschina relations pompeo had then called for a global compact arguing us policy of “bling engagement” with china had failed the top us diplomat was pressed repeatedly by both republican and democratic senators on china more than on any other foreign issues reflecting the urgency felt among american policy makers on the issue,world
eight fishermen detained in lakshadweep secure bail ,cities
apple inc cofounder steve wozniak says youtube has for months allowed scammers to use his name and likeness as part of a phony bitcoin giveaway similar to the one that was quickly extinguished by twitter inc last weekscammers used images and video of wozniak who left apple in 1985 to convince youtube users that he was hosting a live giveaway and anyone who sent him bitcoins will get double the number back according to a lawsuit filed tuesday in state court in san mateo county california “but when users transfer their cryptocurrency in an irreversible transaction they receive nothing back”the scam also uses the names and images of other tech celebrities including microsoft corp cofounder bill gates and tesla inc chief executive officer elon musk according to the suityoutube has been “unresponsive” to wozniak’s repeated requests to take down the fraudulent videos he saidby contrast twitter reacted “that same day” after the accounts of barack obama joe biden and highprofile users were hacked last week as part of a similar phony bitcoin giveaway he said“youtube has been unapologetically hosting promoting and directly profiting from similar scams”wozniak sued along with 17 other alleged victims of the scam they are asking the court to order youtube and its parent company alphabet inc to immediately remove the videos and to warn users about the scam giveaways they are also seeking compensatory and punitive damagesalphabet didn’t immediately respond to a request for comment made after regular business hours in californiaearlier this week youtube defended itself in a similar case by saying it was immune from liability under provisions of the federal communications decency act the 1996 law says that internet providers cannot be held liable for content posted on their platforms by users,science and tech
ive trained hard during ban period ready for comeback narsingh yadav the postponement of tokyo olympics to 2021 has handed narsingh pancham yadav a lifeline and the dopetainted wrestler on thursday said he will make full use of the golden chance after the federation announced that it wont come in the way of his returnif the olympics was to be held as scheduled in julyaugust this year yadav would not have got the chance to compete due to his fouryear doping ban which ends in julybut now he has a full year to make his case in the 74kg category after the covid19 pandemic forced the postponement of the games india is yet to secure an olympic quota in the division which was once dominated by sushil kumar the countrys lone double olympicmedallist who is now on the wanethe wrestling federation of india wfi has also said that it wont stop yadav from making a comebacki always had the belief that if i have not done anything wrong no wrong will happen with me the truth always wins now you see by gods grace i have got this chance again out of nowhere yadav told pti from mumbai where he is training with his coach jagmal singhsomehow i had this feeling inside me that i will get to compete in the olympics i dont know why but i always had this feeling i am completely focussed on my comeback and determined to win a medal at the tokyo games he addedyadav was handed a fouryear ban by the court of arbitration for sport cas in august 2016 for failing a dope test which had been ruled as sabotage by the national antidoping agencythe ban came about due to an appeal by the world antidoping agency wada just hours before his bout was to start at the rio olympic games he got there after a bitter selection row involving sushilyadav had even accused the twotime olympic medallist of trying to sabotage his career after failing the dope test an allegation which was never provedthe wfi said it would be happy to have him back despite the past scandalwe will not stop him if he comes to us and says that he wants to compete we have discussed it after his ban period is over he will be eligible for a comeback wfi assistant secretary vinod tomar told ptiyadav maintained that he did not do anything wrongwhy would i be so silly no one believed me the government should have done something about it but now i have got this golden chance i have done well in 74kg i have kept an eye on all international wrestlers in my categoryi know who is applying what technique i keep watching their videos on youtube i am prepared to take them on he declaredi have not competed but i have been training with dedication i had qualified for rio games by winning a bronze medal at the worlds 2015 with my hard work i am confident that not only will i qualify for the olympics but also stand on the podiumsharing his frustration during the banperiod yadav said i lost all my sponsors everyone deserted me but i did not lose hope it was a tough period but my wife supported me friends and my coach kept me goingi was brought down from a high level but now i have a chance to make a grand comeback he said adding that his employer maharashtra police supported himyadav now 31 said he missed the mat competition but kept himself in shape by competing in local dangalswrestling is my life i started from scratch and did considerably well in my career winning medals at all levels i competed in dangals and will be back on the mat soon once the ban period is over i will request wfi to let me try and compete in olympic qualification events he saidi also plan to compete at the nationals,sports
and re coupling integrated pest management genetically modified food climate change hybrid population ,india
manure fertilizer spreader eg slurry tanker or terragator dry manure spreader eg terragator sprayer drip ,india
covid19 elderly people have better coping mechanism during pandemic study findsyounger and middleaged adults are faced with family and workrelated challenges such as working from home homeschooling children and unemployment they are also more likely to experience different types of ongoing nonpandemic stressers than older adults such as interpersonal conflictsolder adults who are aged 60 and above have better emotional wellbeing and felt less stressed and threatened by the ongoing coronavirus pandemic according to a new ubc the university of british columbia researchbased on daily diary data collected between midmarch and midapril of this year the researchers found that older people have fared better emotionally compared to younger adults 1839 and middleaged adults 4059 the new research results were published in the ‘journal of gerontology psychological sciences’“our findings provide new evidence that older adults are emotionally resilient despite public discourse often portraying their vulnerability we also found that younger adults are at greater risk for loneliness and psychological distress during the pandemic” said patrick klaiber the study’s lead author and a graduate student in the ubc department of psychologyfor the study the researchers analysed data from 776 participants aged 1891 who lived in canada and the us and completed daily surveys for one week about their stressers positive events and their emotional wellbeing during the first several weeks of the pandemic the time period was selected as it was likely to be the period of greatest disruption and uncertainty as local provincial and state governments began issuing stayathome orders,health and medicine
rbi likely to leave repo rate unchanged in august policy meet reportthe report states that people’s preferences of financial assets during lockdown and in subsequent months will give a fillip to the financial savings in the countrythe reserve bank of india is likely to leave repo rate unchanged in the upcoming policy review meeting and the monetary policy committee may look for “unconventional policy measures” to ensure financial stability says a reportthe monetary policy committee mpc headed by rbi governor is scheduled to meet for three days beginning august 4 and will announce its decision on august 6“we believe an august rate cut is unlikely we believe that the mpc could now well debate what further unconventional policy measures could be resorted to in the current circumstances to ensure financial stability is continued to be addressed” an sbi research report ecowrap saidwith the 115 basis points bps reduction in repo rate beginning february banks have already transmitted 72 basis points to the customers on fresh loans and some large banks have transmitted as much as 85 basis points it said“this has happened because of a proactive rbi using liquidity among others as a tool to serve its policy objective” the report said,business
vishy anand suffers seventh loss in legends of chess tourney going into the match against the chinese after ending his sixmatch losing streak anand surrendered the first game in just 22 moves late on tuesdayformer world champion viswanathan anand crashed to his seventh defeat in the usd 150000 legends of chess online tournament going down 0525 to world no3 ding liren in the eighth roundgoing into the match against the chinese after ending his sixmatch losing streak anand surrendered the first game in just 22 moves late on tuesdaythe duo settled for a 47move draw in the second before liren sealed victory in the third game with black pieces in 41 movesanand lies last in the table with six points with liren and peter lekothe 50year old indian takes on vasyl ivanchuk in the ninth and final roundworld no1 magnus carlsen overcame the challenge of russian ian nepomniachtchi after the fourgame contest ended at 2allthe armageddon a tiebreak also ended in a stalemate but the norwegian won and picked up three points because he played blackthe norwegian player maintains his position at the top of the table with 22 points followed by nepomniatchi 19 and anish giri 15 carlsen has won all the eight matches he has played so far,sports
combating the shortage of  icu care during covid19 dr sandeep dewan founder and managing director of springer health criticu dr dhruv joshi director and cofounder of cloudphysician and dr dileep raman cofounder and director of cloudphysician are helping to provide effective treatment to critical covid19 patients at hospitals in smaller districts dr joshi and dr raman give details to sanjiv das on how their startups have focused on combating the care giver shortage for icus especially in rural and remote locations by incorporating technology to help fight against covid19 cloudphysician has helped over 10000 patients that total more than 26000 patient bed days managing over 300 icu beds across 20 hospitals in eight states springer teleicus has saved over 450 lives and treated above 5000 patients in the past one year with a network of over 550 teleicu beds spread across 24 districts of india and four countries across the globe both projects received grants from act grants a rs 100 crore grant set up specifically to fight the pandemic cloudphysician received rs 194 lakh whereas criticu received rs 45 lakh,health and medicine
fir filed against gajendra shekhawat after congress releases audio clips alleging horsetradingas rajasthans political turmoil carries on new factions of rajasthan politics are coming to light in the latest turn of events congress party has demanded an fir against union minister gajendra shekhawat after releasing audio clips accusing the minister of indulging in horsetradingas rajasthans political turmoil carries on new factions of rajasthan politics are coming to light in the latest turn of events congress party has demanded an fir against union minister gajendra shekhawat after releasing audio clips accusing the minister of indulging in horsetrading the congress party has alleged that the conversation is being held between gajendra shekhawat and an mla of the sachin pilot camp latest reports suggest that rajasthan sog has registered fir against union minister gajendra singh shekhawat congress mlas bhanwar lal sharma and sanjay jaina press note was earlier issued by the camp of chief minister ashok gehlot claiming that the audio clips are of conversations between the bjps shekhawat and pilot loyalist bhanwarlal sharmagehlots camp claimed that shekhawat was in contact with the congress mla bhanwarlal sharma through jaipur resident sanjay jainthe press note says that the audio is of sharmas updates on the progress in meeting the set target of bringing in 30 mlas into their fold and the purported voice of shekhawat on the other side says that this will bring in the gehlot government on its kneesthe person said to be shekhawat as per the note also says that sharma and other mlas should stay in the hotel for 810 daysanother clip is purportedly of sharma seeking assurances from jain who responds i assured you yesterday again i assure you that your seniority will be taken care of as per the press note,politics
rajasthan cm gehlot lacks numbers does not trust his mlas ,cities
india is on the threshold of indigenously developing a cheap and effective microbial insecticide that is likely to revolutionise the countrys efforts to reduce its burgeoning mosquito population the vector control research centre vcrc in pondicherry will soon conduct field trials on a bacillus which it had isolated and developed to kill mosquito larvae if the trials prove successful then the country may dispense with the present costly chemical insecticides such as ddt and malathion which have been woefully inadequate against mosquitoes with the former causing serious environmental problems predicts pk rajagopalan vcrcs bespectacled director the bacillus is going to be our insecticide of the future,environment
the extreme wildfires sweeping across parts of north america europe and siberia this year are not only wreaking local damage and sending choking smoke downwind they are also affecting the climate itself in important ways that will long outlast their flames wildfires emit carbon dioxide and other greenhouse gases that will continue to warm the planet well into the future they damage forests that would otherwise remove co2 from the air and they inject soot and other aerosols into the atmosphere with complex effects on warming and cooling to be sure the leading cause of global warming remains overwhelmingly the burning of fossil fuels that warming lengthens the fire season drying and heating the forests in turn blazes like those scorching areas across the northern hemisphere this summer have a feedback effect—a vicious cycle when the results of warming produce yet more warming how bad is the climate feedback from ,environment
taiwan becomes the first country to resume cruises after global pandemic well the false travel experience of going abroad may not be valid now amidst the global pandemic situation so when you cant go outward turn inward  this seems to hold true for taiwan as well the island nation came to the rescue of wanderlusts by launching its first islandhopping cruise which set sail ,india
the number of newly diagnosed infections in the republic of ireland is significantly higher than it has been for several weeks irelands acting chief medical officer dr ronan glynn said todays figures demonstrate how quickly covid19 can remerge in our country the death toll now stands at 1763 dr glynn said the republic of ireland was now at a crucial point in our response to covid19 over the coming days it is vital that everyone continues to avoid large crowds physically distance wear face coverings where appropriate and wash hands regularly covid19 is extremely infectious and no one is immune he added the republic of ireland began easing its covid19 lockdown measures in may by publishing a fivestage roadmap to recovery the plan was accelerated in early june but 10 days later the irish government put the brakes on pausing its schedule of reopening dates amid concern over a rise in infections,world
eid spirit reigns despite lockdown in bhopal ,cities
service commission sbi clerk state bank of india ibps clerk institute of banking personnel selection upsc ,india
at least two hospitals are yet to approve the protocols for clinical trials of an indigenously developed covid19 vaccine a setback for indias top medical research body which wants to launch it on august 15 the ethics committee of the all india institute of medical sciences in new delhi has found discrepancies in the protocol submitted for trials raising questions on how other sites enrolled for the trials have got approvals from their ethics committeesthe phase ii trial will have participants in the 1265 age group however the affirmative agreement for children to participate in the study is missing people familiar with the matter told et this is a basic requirement why other ethics committee did not flag this discrepancy needs to be inquired into the people saidking george hospital in visakhapatnam has not given the goahead for the clinical trials of bharat biotechs covid19 vaccine,health and medicine
government to expand scope of rs 3 lakh crore msme credit scheme the narendra modi government intends to expand the scope of the rs 3 lakh crore credit scheme for micro small and medium enterprises msmes union finance minister niramala sitharaman said at a media briefing held on saturday sitharaman said the scheme will now include individual loans given for business purposes within the ambit of the eclgs subject to the eligibility criteria of the schemethe overall ceiling for the scheme remains at rs 3 lakh crore and the validity of the scheme is till october we feel we have a headroom of rs 1 lakh crore within these rs 3 lakh crore which can be extended to individuals she saidwe have also decided to cover individual loans given to doctors chartered accountants for business purposes under the scheme financial services secretary debasish panda saidsimilar procedure as with regard to companies would be adopted to sanction loans to these professionals running their business smaller companies were sufficiently covered under the scheme so we wanted to include larger companies as well panda addedthe maximum amount of guaranteed emergency credit line gecl funding under the scheme would also correspondingly increase from rs 5 crore at present to rs 10 crore the secretary saidtaking into account the remaining headroom under the scheme and after consultations with stakeholders it is now intended to include individual loans given for business purposes within the ambit of emergency credit line guarantee scheme eclgs subject to the condition that such loans should fulfill the eligibility criteria prescribed under the scheme the government said in a note released today,business
great plains international food policy research institute payment for ecosystem services gregor mendel ,india
kerala kudumbashree goes online cart for all needs ,cities
factor productivity cow shed international labour organization service sector methane scalar field ,india
three inmates escaped from the district jail in maharashtras jalgaon on saturday around 730 am the incident has raised concerns over the police security in jail one of the three prisoners who escaped is a former police constable the inmates who escaped are sushil ashok magare resident of pahur tal jamner gaurav vijay patil resident of tambapura amalner and sagar sanjay patil resident of palad amalner inmates are released from their barracks every morning for work in the jail they took advantage of this and managed to escape on saturday without being noticed by the security guards questions are being raised about how the inmates escaped when there was a strict security system inside and outside the jail state minister for water supply and sanitation and district guardian minister gulabrao patil visited the jail for inspection the three had also procured weapons and used it for their escape a man identified as jagdish patil was waiting outside the jail with a motorbike for them cctv footage showed the inmates escaping on a motorbike with their getaway driver,Legal
chandigarh watch out losing pay for skipping work in municipal ,cities
eoin morgan says england have an unbelievably talented pool of whiteball players as the world champions prepare to launch their campaign to reach the next world cup against ireland on thursdaythe threematch oneday international series at southamptons ageas bowl launches the new world cup super league which will determine qualification for the 2023 50over world cup in indiaenglands red and whiteball fixtures are overlapping in a season cut short by the coronavirus outbreak and they are maintaining two separate squads meaning a clutch of world cup winners including joe root and ben stokes will not feature against irelandbut morgan englands limitedovers captain said he had more talented players at his disposal than he had ever seen before,sports
the grand finale of rohit shettys stunt reality show khatron ke khiladi season 10 where karishma tanna defeated karan patel and dharmesh yelande to bag the winners trophy talking about her win the popular actress told mumbai mirror “i have been in the film industry for a while now and the closest i ever came to winning is being adjudged first runnersup maybe god wanted me to win the ‘real’ reality showall the episodes except the was shot before the lockdown when asked whether there was any pressure in that period to which she replied “more than me my mother was desperately waiting for the result praying every day that i win she was the one who pushed me else i wouldn’t have done the show” speaking on stunts karishma said “when i thought some task was doable i failed at that,entertainment
design national institute of fashion technology  nift  national institute of design admissions  nid exam  ,india
somen mitra west bengal congress president dies ,cities
sciences cat enroll enorllment enrolled semester semesters cat indiacivil services exam union public ,india
in an attack by terrorists from the local militant group peopleõs liberation army three personnel from 4 assam rifles unit lost their lives and five were injured in sadiktampak village of chandel district of manipur around 3 km from the border with myanmar on wednesday night the terrorists first carried out an improvised explosive device blast and then fired at the troops who were returning to their post after three days of operation along the international bordera group of 15 soldiers were returning from an area dominance patrol at khongtal in chandel area when an improvised explosive device exploded and they came under heavy fire from the members of an insurgent group he saidthe martyrs have been identified as havildar pranay kalita rifleman ym konyak and rifleman ratan salim the injured jawans  subedar s hoakip havildar nitul sharma rifleman vivekanan rifleman sandeep kumar and sepoy anish kumar  have sustained minor injuries and are receiving treatment at the military hospital,defence
simona halep’s palermo appearance in doubt after italy’s quarantine order palermo open will mark the first professional tennis event across the wta and the atp tours since early march with action scheduled to get underway on the clay courts from august 3the upcoming palermo ladies open could lose its biggest draw in world number two simona halep after italy decided to impose a mandatory quarantine of 14 days for people coming from romania and bulgaria amid the coronavirus pandemicitalian health minister roberto speranza said on friday people who have been in romania and bulgaria in the past 14 days will be quarantined upon arrival in italy a move aimed at preventing the importation of covid19 casespalermo will mark the first professional tennis event across the wta and men’s atp tours since early march with action scheduled to get underway on the clay courts of the sicilian capital from aug 3tournament director oliviero palma said organisers have written an urgent letter to speranza asking for exemption for tennis players taking part in the event“the provision would penalise a player like romanian simona halep world’s number two and wimbledon’s reigning champion who wouldn’t take part in palermo’s tournament anymore” palma said in a statementitaly was the first european country to be hit hard by the novel coronavirus but the number of daily new infections being reported is a fraction of those seen in late march the country has recorded over 35000 deaths from the virus,sports
a new blood test demonstrated remarkable promise in discriminating between persons with and without alzheimers disease and in persons at known genetic risk may be able to detect the disease as early as 20 years before the onset of cognitive impairment according to a large international studyfor many years the diagnosis of alzheimers has been based on the characterization of amyloid plaques and tau tangles in the brain typically after a person dies an inexpensive and widely available blood test for the presence of plaques and tangles would have a profound impact on alzheimers research and care according to the new study measurements of phosphotau217 ptau217 one of the tau proteins found in tangles could provide a relatively sensitive and accurate indicator of both plaques and tangles  corresponding to the diagnosis of alzheimers  in living peoplethe ptau217 blood test has great promise in the diagnosis early detection and study of alzheimers said oskar hansson md phd professor of clinical memory research at lund university sweden who leads the swedish biofinder study and senior author on the study who spearheaded the international collaborative effort while more work is needed to optimize the assay and test it in other people before it becomes available in the clinic the blood test might become especially useful to improve the recognition diagnosis and care of people in the primary care setting,health and medicine
now mostly replaced by the swather  rice huller swather  more common in the northern united states and ,india
uttar pradesh  inmates escape from mirzapur temporary jail ,cities
after the lockdown was put in place in many countries there was lesser travelling done by people whether it be by their own cars or by trains and flights even industries were closed down and not allowed to function this in turn led to the pollution in the air dropping significantly as there was a marked decline in nitrous oxide emission,environment
school knowledge education department scholarship literacy special education schooling tuition teacher ,india
indias factory activity contracted at a sharper pace in july india’s factory slump deepened in july as renewed lockdown measures to contain surging coronavirus cases weighed on demand and output raising the chances of a sharper economic contraction a private business survey showed on mondayasia’s thirdlargest economy which has the thirdhighest coronavirus caseload globally is expected to shrink at its sharpest pace since 1979 this fiscal year a reuters poll found last weekreinforcing that grim outlook the nikkei manufacturing purchasing managers’ index compiled by ihs markit fell to 460 last month from 472 in june below the 50level separating growth from expansion for a fourth straight month and marking its longest spell of contraction since march 2009“the survey results showed a reacceleration of declines in the key indices of output and new orders undermining the trend towards stabilisation seen over the past two months” noted eliot kerr an economist at ihs markit“anecdotal evidence indicated that firms were struggling to obtain work with some of their clients remaining in lockdown suggesting that we won’t see a pickup in activity until infection rates are quelled and restrictions can be further removed”a further decline in new orders and output signaled weakness in overall demand despite factories again cutting their prices leading firms to reduce their workforces for a fourth month in a rowa persistent decline in both input and output prices raises the chance that overall inflation would ease after spiking above the upper bound of the reserve bank of india’s mediumterm target of 26 in june,business
a week before the death of george floyd in the us city of minneapolis in may brazilians were mourning one of their own fourteenyearold joão pedro mattos pinto was killed while playing with friends during a botched police operation in a favela in rio de janeiro the two deaths happened thousands of kilometres apart yet millions of people were united in grief and anger black lives matter here too brazilians chanted in the weeks following the deaths but history keeps repeating itself only last week a police officer in são paulo stepped on the neck of a black woman in her fifties the video that surfaced showing the incident caused outrage she survived but so many do not,world
will not lie about chinese transgressions in ladakh even if it costs me politically rahul gandhigandhi made these remarks in a tweet along with an overaminutelong video as part of a series launched by him on the indiachina faceoff along the line of actual controllac in eastern ladakhcongress leader rahul gandhi on monday said he is not going to lie about chinese transgressions in eastern ladakh even if it costs him politically asserting he will say the truth as far as indian territory is concernedgandhi made these remarks in a tweet along with an overaminutelong video as part of a series launched by him on the indiachina faceoff along the line of actual controllac in eastern ladakhasked in the video how he would react to people who say his questions to prime minister narendra modi on china weakened india the former congress chief said if you want me to lie that the chinese have not entered this country i am not going to lie i will simply not do it i do not care if my whole career goes to hell i am not going to liethis disturbs me frankly it makes my blood boil how can some other nation just come into our territoryhiding the truth is antinational bringing it to peoples attention is patriotic gandhi saidso frankly i do not care if it costs me politically i do not care if i have no political career at all after that but i am going to say the truth as far as indian territory is concerned he addedgandhi has been repeatedly attacking the prime minister and the government over chinese transgressions on the lac in eastern ladakhas an indian my number one priority is the nation and its people he said on mondaythe bharatiya janata party bjp has hit back at gandhi over his attack on the government on the ladakh faceoff alleging he is seeking to politicise defence and foreign policy matters and wash their past sins of 1962 and weaken indiabjp president jp nadda has also alleged that for years a dynasty has been trying to destroy modi while adding that those who want to destroy the prime minister will only end up causing further damage to their own party,politics
give me whichever event i just want to run and qualify for the olympics hima das ts been a long stretch for sprinter hima das at the national institute of sports nis in patiala she has been there from december last year juggling between recuperation from a back injury lockdown and training the pandemic may not have allowed hima much time on the track but the maturity in her words suggests it gave her time to reflect upon her injury weigh her options and plan the road aheadpostponement of the tokyo olympics and the resultant extension of the qualifying period for the games has come as a blessing in disguise for hima though she still sounds a little bothered by the back injury she suffered at the asian championships in april 2019 a year added to the qualifying period has helped her adjust her focus and relay her markersbut hima isnt ready to reveal her cards yet with questions revolving around her fitness and the decision to compete or not in her favourite 400m eventeveryone gets injured its part of a sportspersons life the coach galina bukharina and the federation athletics federation of india will take the decision on the events to run in i will follow that what the coach has said or not only she can tell i cant comment on that said hima who shot to fame with her historic 400m gold at the 2018 world u20 championshipsi have reached here only because of the efforts of the federation and coachso give me whichever event i just want to run and qualify for the olympics the 20 year old hima told timesofindiacomthat stance still leaves a question mark though over what event will hima compete in with some reports suggesting that even a go at the 100m hasnt been ruled out but the fact at the moment is that the 400m national recordholder hasnt looked very optimistic about her favourite event though she did win three medals in the distance gold in 4x400 mixed relay and 4x400 womens relay and a silver in 400m at the 2018 asian gameshowever she mainly ran the 200m in the international circuit in 2019 in her famous gold medalwinning run in europe last year four were won in the 200m and one in 400mhima is yet to achieve the womens 200m qualifying mark of 2280 for the tokyo olympics the qualification mark for womens 400m is 5135,sports
recovery rate dips as  more test covid ve in allahabad ,cities
bjp appoints somu veerraju as partys andhra pradesh presidentveerraju a senior bjp leader in the state replaces kanna lakshminarayana who was at the helm for over two yearsthe bjp on monday appointed somu veerraju a mlc in andhra pradesh as its state president a party statement saidveerraju a senior bjp leader in the state replaces kanna lakshminarayana who was at the helm for over two yearsdespite the bjp making impressive strides in the neighbouring telangana in the 2019 lok sabha polls the party has remained a marginal force in andhra pradeshthe appointment of a new president indicates the partys national leaderships push to rejig the organisation in the state to make it a force in the politics dominated by two regional parties the ysr congress and the tdp,politics
